Station,District,Elevation(masl),Max,Min,Year
Chainpur East ,Sankhuwasabha,1277,24.8,14,2018
Pakhribas,Dhankuta,1720,21.1,12,2018
Dhankuta,Dhankuta,1192,25.1,15,2018
Dharan Bazar,sunsari,310,29.9,20,2018
Terhathum,,1525,NA,14,2018
Chatara,Sunsari,105,NA,NA,2018
Biratnagar Airport,Morang,72,30.1,19,2018
Tarahara,Sunsari,120,30.6,18,2018
Tumlingtar,Sankhuwasabha,477,NA,NA,2018
Khadbari,Sankhuwasabha,1064,NA,16,2018
Taplejung,Taplejung,1744,22.2,12,2018
Ilam Tea Estate,Ilam,1208,24.4,12,2018
Damak,Jhapa,119,30.7,19,2018
Chandra Gadhi,Jhapa,90,NA,NA,2018
Kanyam Tea Estate,Ilam,1570,20.8,13,2018
Phidim Panchther ,Panchthar,1157,26.5,12,2018
Dovan,TAPLEJUNG,700,NA,NA,2018
Gaida Kankai ,Jhapa,107,30.7,17,2018
Kechana,Jhapa,71,NA,NA,2018
Nuwakot,Nuwakot,966,27.7,16,2018
Lukla Airport,Solukhumbhu,2786,NA,NA,2018
Chisapani Karnali ,Kailali,201,29.8,19,2018
Godavari,,NA,NA,NA,2018
Jyamirebari,,1525,22,12,2018
Lete,Mustang,2617,NA,NA,2018
Nepalgunj Airport,,NA,32,18,2018
Okhaldhunga,,1725,22.7,12,2018
Baitadi Gothalapani ,Baitadi,1352,28.2,11.4,2019
Patan West ,Baitadi,1292,25.5,13.4,2019
Dadeldhura,Dadeldhura,1879,21.2,11.5,2019
Mahendra Nagar,Kanchanpur,197,30.6,18.5,2019
Darchula,Darchula,945,NA,NA,2019
Dainsili Sidhhapur ,Baitadi,2083,21.4,13.9,2019
Darchula New,Darchula,887,28.1,15.1,2019
Patan new,Baitadi,1299,24.5,13.3,2019
Silgadhi Doti,Doti,1309,25.8,14.1,2019
Bajura Martadi ,Bajura,1598,23.7,11.8,2019
Tikapur,Kailali,149,31.2,16.2,2019
Dhangadhi Attariya ,Kailali,184,31.4,18.2,2019
Godavari West ,Kailali,280,31.2,20.2,2019
Mangalsen,Achham,1310,25.5,13.4,2019
Dipayal Doti ,Doti,563,30.8,15.9,2019
Oli Gaun Patkani ,Achham,989,29.3,13.5,2019
Gokuleshwar,Kailali,761,NA,NA,2019
Chainpur Bajhang AWS,,1405,NA,NA,2019
Jumla,Jumla,2363,20.4,6.1,2019
Gam Shree Nagar,Mugu,2113,21.7,10.4,2019
Rara,Mugu,2989,15.1,3.2,2019
Nagma,Kalikot,2017,21.6,8.4,2019
Dipal Gaun,Jumla,2422,21.7,5.4,2019
Simikot,Humla,2993,15,4.8,2019
Dunai,Dolpa,2098,21.5,8.3,2019
Manma,kalikot,1729,NA,11.6,2019
Kaigaun,Dolpa,2683,20.1,4.5,2019
Jumla Airport,Jumla,2384,20.1,4.7,2019
Pusma Camp,Surkhet,953,25.2,13.4,2019
Dailekh,Dailekh,1394,25.2,14.5,2019
"Surkhet Airport, Birendranagar ",Surkhet,683,29,16.1,2019
Gulariya,Bardiya,126,30.6,18.5,2019
Khajura Nepalganj ,Banke,129,30.8,18.7,2019
Nepalgunj Reg Off ,Banke,141,30.2,19.9,2019
Rani Jaruwa Nursery,Bardiya,145,NA,NA,2019
Sikta,Banke,161,31,18.5,2019
Mehalkuna,Surkhet,464,29.7,16,2019
Libang Gaun,Rolpa,1314,26.6,13.3,2019
Bijuwar Tar,Pyuthan,835,29.4,15.5,2019
Tulsipur,Dang,683,27.4,NA,2019
Salyan Bazar,Salyan,1557,24.7,13.8,2019
Chaurjhari Tar,Rukum,863,28,14.3,2019
Musikot Rukumkot ,Rukum,1412,24.8,13.5,2019
Ghorai Dang ,Dang,663,28.8,17,2019
Jomsom,Mustang,0,17.6,4.6,2019
Jomsom Resort,Mustang,2846,NA,NA,2019
Thakmarpha,Mustang,2655,17,5,2019
Baglung,Baglung,964,27.6,15.3,2019
Bahrabise,Sindhupalchok,,29.1,14.5,2019
Kushma,Parbat,900,28.4,15.4,2019
Gurja Khani,Myagdi,2627,NA,NA,2019
Bhimgithhe,Baglung,1008,NA,NA,2019
Chhoser,Mustang,3886,NA,NA,2019
Tansen,Palpa,1183,25.4,13.5,2019
Bhairahawa Airport,Rupandehi,108,31,19.8,2019
Dumkauli,Nawalpur,183,NA,NA,2019
Bhairahawa Agric ,Rupandehi,112,31.7,19.3,2019
Parasi,Nawalparasi,112,31.1,18.4,2019
Khanchikot,Arghakhachi,1801,21,12.7,2019
Taulihawa,Kapilvastu,106,30.4,19,2019
Tamghas,Gulmi,1547,NA,12.1,2019
Semari,Nawalparasi,110,31.9,18.1,2019
Lumbini,Rupandehi,95,NA,NA,2019
Anp Chour,,738,30.4,13.7,2019
Sandhikharka,Arghakhachi,1030,26.7,13.7,2019
Khudi Bazar,Lamjung,838,27.9,NA,2019
