Station,District,Elevation(masl),Max,Min,Year
Kushma,Parbat,900.0,28.4,15.4,2019
Tansen,Palpa,1183.0,25.4,13.5,2019
Bhairahawa Airport,Rupandehi,108.0,31.0,19.8,2019
Bhairahawa Agric ,Rupandehi,112.0,31.7,19.3,2019
Parasi,Nawalparasi,112.0,31.1,18.4,2019
Khanchikot,Arghakhachi,1801.0,21.0,12.7,2019
Taulihawa,Kapilvastu,106.0,30.4,19.0,2019
Semari,Nawalparasi,110.0,31.9,18.1,2019
Anp Chour,,738.0,30.4,13.7,2019
Sandhikharka,Arghakhachi,1030.0,26.7,13.7,2019
Pokhara Airport,Kaski,803.9,27.3,16.3,2019
Syangja,Syangja,871.0,27.3,15.5,2019
Bandipur,Tanahu,991.0,26.0,14.3,2019
Gorkha Birenchowk ,Gorkha,724.0,27.3,16.9,2019
Chapakot,Syangja,617.0,29.2,16.8,2019
Malepatan Pokhara ,Kaski,859.0,27.3,13.7,2019
Lumle,Kaski,1738.0,20.3,11.7,2019
Khairini Tar,Tanahun,515.0,29.2,17.4,2019
Dandaswara,Syangja,1316.0,23.6,14.3,2019
Ghalekharka,Kaski,1665.0,21.3,12.5,2019
Begnas,Kaski,682.0,28.5,16.2,2019
Panchase,Parbat,2492.0,18.0,8.2,2019
Daman,Makwanpur,2265.0,18.4,7.5,2019
Hetauda N F I ,Makwanpur,452.0,29.3,17.6,2019
Gaur,Rautahat,77.0,31.9,20.2,2019
Bharatpur,Chitwan,216.0,31.4,19.5,2019
Chautara,Sindhupalchok,1552.0,25.0,12.3,2019
Dhulikhel,Kavre,1543.0,23.8,12.3,2019
Khumaltar,Lalitpur,1334.0,24.7,12.8,2019
Kathmandu Airport,,1337.0,25.6,13.1,2019
Panchkhal,Kavre,857.0,28.7,14.6,2019
Dhunibesi,Dhading,991.0,26.9,16.0,2019
Panipokhari Kathmandu ,Kathmandu,1329.0,25.9,13.7,2019
Bhaktapur,Bhaktapur,1315.0,26.3,12.4,2019
Dhunche,Rasuwa,2005.0,20.2,10.6,2019
Pansayakhola,Nuwakot,1982.0,19.4,11.9,2019
Changu Narayan,Bhaktapur,1502.0,25.2,13.5,2019
Khokana,Lalitpur,1309.0,24.9,11.6,2019
Charikot,Dolakha,2132.0,23.2,10.0,2019
Jiri,Dolakha,1877.0,21.0,8.5,2019
Sindhuli Madhi,Sindhuli,556.0,29.4,17.1,2019
Hardinath,Dhanusha,93.0,30.4,19.9,2019
Manusmara,Sarlahi,90.0,30.4,19.0,2019
Karmaiya,Sarlahi,139.0,31.5,20.2,2019
Manthali,Ramechhap,497.0,30.7,17.1,2019
Kabre,Dolakha,1755.0,23.0,12.0,2019
Phattepur,Saptari,101.0,31.2,19.1,2019
Udayapur Gadhi,,469.0,29.5,19.0,2019
Lahan,Siraha,110.0,30.5,19.8,2019
Salleri,,2383.0,18.8,8.6,2019
Diktel,Khotang,1612.0,22.5,13.8,2019
Rajbiraj,Saptari,68.0,30.3,20.5,2019
Num,Sankhuwasabha,1494.0,22.6,12.8,2019
Pakhribas,Dhankuta,1720.0,21.0,12.7,2019
Dhankuta,Dhankuta,1192.0,25.5,15.4,2019
Dharan Bazar,sunsari,310.0,29.9,20.6,2019
Terhathum,,1525.0,23.6,13.5,2019
Chatara,Sunsari,105.0,31.2,19.4,2019
Biratnagar Airport,Morang,72.0,30.8,19.4,2019
Tarahara,Sunsari,120.0,29.8,18.7,2019
Khadbari,Sankhuwasabha,1064.0,25.7,16.5,2019
Taplejung,Taplejung,1744.0,21.9,12.4,2019
Ilam Tea Estate,Ilam,1208.0,23.5,13.9,2019
Damak,Jhapa,119.0,30.8,17.0,2019
Chandra Gadhi,Jhapa,90.0,31.0,21.2,2019
Kanyam Tea Estate,Ilam,1570.0,20.7,12.9,2019
